iter	Passed	Remaining
400	26339	39344
401	26392	39261
402	26446	39178
403	26487	39075
404	26544	38996
405	26586	38897
406	26622	38788
407	26660	38683
408	26696	38575
409	27349	39356
410	27394	39258
411	27436	39157
412	27476	39052
413	27517	38949
414	27566	38858
415	27618	38772
416	27659	38669
417	27696	38562
418	27735	38459
419	27773	38353
420	27811	38248
421	27851	38147
422	27897	38053
423	27937	37952
424	27980	37856
425	28026	37763
426	28076	37677
427	28113	37572
428	28165	37488
429	28208	37392
430	28266	37316
431	28320	37236
432	28387	37172
433	28434	37082
434	28487	37001
435	28540	36919
436	28593	36838
437	28641	36749
438	28689	36662
439	28731	36566
440	28778	36479
441	28825	36391
442	28875	36306
443	28932	36230
444	28983	36147
445	29033	36064
446	29078	35973
447	29125	35887
448	29170	35796
449	29219	35713
450	29265	35624
451	29308	35533
452	29347	35437
453	29386	35341
454	29429	35250
455	29483	35173
456	29527	35083
457	29571	34994
458	29611	34901
459	29648	34805
460	29866	34920
461	30044	34987
462	30304	35147
463	30395	35112
464	30433	35015
465	30473	34920
466	30524	34838
467	30572	34753
468	30623	34671
469	30670	34585
470	30724	34508
471	30773	34424
472	30817	34335
473	30862	34248
474	30915	34169
475	30979	34103
476	31038	34031
477	31088	33950
478	31130	33860
479	31183	33782
480	31230	33698
481	31281	33618
482	31330	33536
483	31378	33452
484	31427	33371
485	31476	33289
486	31539	33223
487	31587	33141
488	31635	33058
489	31686	32979
490	31736	32900
491	31784	32818
492	31830	32734
493	31877	32652
494	31927	32572
495	31997	32513
496	32063	32450
497	32125	32383
498	32173	32302
499	32230	32230
500	32270	32142
501	32315	32058
502	32362	31976
503	32402	31888
504	32444	31801
505	32496	31725
506	32540	31642
507	32580	31554
508	32620	31466
509	32658	31377
510	33262	31830
511	33302	31741
512	33341	31652
513	33387	31569
514	33437	31489
515	33479	31403
516	33530	31325
517	33579	31245
518	33634	31172
519	33778	31180
520	33832	31105
521	33877	31021
522	33917	30934
523	33966	30855
524	34008	30769
525	34045	30680
526	34081	30589
527	34128	30508
528	34176	30429
529	34220	30346
530	34268	30266
531	34323	30194
532	34372	30116
533	34419	30036
534	34466	29957
535	34523	29885
536	34575	29811
537	34624	29733
538	34683	29664
539	34732	29587
540	34774	29503
541	34823	29426
542	34863	29342
543	34903	29257
544	34943	29173
545	34984	29089
546	35025	29006
547	35064	28922
548	35104	28838
549	35146	28756
550	35199	28683
551	35246	28605
552	35297	28531
553	35362	28468
554	35403	28386
555	35446	28306
556	35509	28242
557	35558	28166
558	35601	28086
559	36294	28517
560	36375	28464
561	36418	28383
562	36464	28303
563	36520	28232
564	36563	28150
565	36611	28073
566	36651	27989
567	36712	27922
568	36776	27856
569	36847	27797
570	36904	27727
571	36961	27656
572	37011	27581
573	37067	27510
574	37120	27436
575	37172	27363
576	37224	27289
577	37275	27214
578	37325	27140
579	37387	27073
580	37443	27003
581	37491	26926
582	37533	26846
583	37576	26766
584	37618	26686
585	37690	26628
586	37736	26550
587	37776	26468
588	37814	26386
589	37852	26304
590	37890	26222
591	37948	26153
592	37989	26073
593	38032	25995
594	38072	25914
595	38113	25835
596	38153	25755
597	38191	25673
598	38229	25592
599	38269	25512
600	38309	25433
601	38353	25356
602	38397	25279
603	38457	25213
604	38503	25138
605	38541	25058
606	38581	24979
607	38623	24901
608	38752	24880
609	38889	24863
610	39104	24896
611	39167	24831
612	39216	24758
613	39261	24682
614	39320	24615
615	39364	24539
616	39406	24461
617	39456	24388
618	39521	24325
619	39606	24274
620	39729	24247
621	39804	24189
622	39855	24117
623	39905	24045
624	39957	23974
625	40007	23902
626	40055	23828
627	40100	23753
628	40147	23679
629	40203	23611
630	40252	23538
631	40299	23465
632	40342	23389
633	40384	23313
634	40426	23237
635	40482	23169
636	40525	23093
637	40566	23017
